,title,lyrics
0, A Aurora de Nova Iorque ,"`A aurora de nova iorque tem
 Quatro colunas de lodo
 E um furacão de pombas
 Que explode as águas podres.

A aurora de nova iorque geme
 Nas vastas escadarias
 A buscar entre as arestas
 Angústias indefinidas.

A aurora chega e ninguém em sua boca a recebe
 Porque ali a esperança nem a manhã são possíveis.
 E as moedas, como enxames,
 Devoram recém-nascidos.

Os que primeiro se erguem, em seus ossos adivinham:
 Não haverá paraíso nem amores desfolhados;
 Só números, leis e o lodo
 De tanto esforço baldado.

A barulheira das ruas sepulta a luz na cidade
 E as pessoas pelos bairros vão cambaleando insones
 Como se houvessem saído
 De um naufrágio de sangue.

`"
2, a Banda ,"`Estava à toa na vida
O meu amor me chamou
Pra ver a banda passar
Cantando coisas de amor

A minha gente sofrida
Despediu-se da dor
Pra ver a banda passar
Cantando coisas de amor

O homem sério que contava dinheiro parou
O faroleiro que contava vantagem parou
A namorada que contava as estrelas
Parou para ver, ouvir e dar passagem

A moça triste que vivia calada sorriu
A rosa triste que vivia fechada se abriu
E a meninada toda se assanhou
Pra ver a banda passar
Cantando coisas de amor

Estava à toa na vida
O meu amor me chamou
Pra ver a banda passar
Cantando coisas de amor

A minha gente sofrida
Despediu-se da dor
Pra ver a banda passar
Cantando coisas de amor

O velho fraco se esqueceu do cansaço e pensou
Que ainda era moço pra sair no terraço e dançou
A moça feia debruçou na janela
Pensando que a banda tocava pra ela

A marcha alegre se espalhou na avenida e insistiu
A lua cheia que vivia escondida surgiu
Minha cidade toda se enfeitou
Pra ver a banda passar cantando coisas de amor

Mas para meu desencanto
O que era doce acabou
Tudo tomou seu lugar
Depois que a banda passou

E cada qual no seu canto
Em cada canto uma dor
Depois da banda passar
Cantando coisas de amor
Depois da banda passar
Cantando coisas de amor`"
3, a Bela E a Fera ,"`Ouve a declaração, oh bela
De um sonhador titã
Um que dá nó em paralela
E almoça rolimã
O homem mais forte do planeta
Tórax de Superman
Tórax de Superman
E coração de poeta

Não brilharia a estrela, oh bela
Sem noite por detrás
Tua beleza de gazela
Sob o meu corpo é mais
Uma centelha num graveto
Queima canaviais
Queima canaviais
Quase que eu fiz um soneto

Mais que na lua ou no cometa
Ou na constelação
O sangue impresso na gazeta
Tem mais inspiração
No bucho do analfabeto
Letras de macarrão
Letras de macarrão
Fazem poema concreto

Oh bela, gera a primavera
Aciona o teu condão
Oh bela, faz da besta fera
Um príncipe cristão
Recebe o teu poeta, oh bela
Abre teu coração
Abre teu coração
Ou eu arrombo a janela`"
4, a Cidade Dos Artistas ,"`Na cidade
Ser artista
É posar sorridente
É ver se de repente
Sai numa revista
É esperar que o orelhão
Complete a ligação
Confirmando a excursão
Que te leva ao Japão
Com o teu pianista
E antes que
O sol desponte
Contemplando
O horizonte
Conceder entrevistas
Aos outros artistas
Debaixo da ponte

Na cidade
Ser artista
É subir na cadeira
Engolindo a peixeira
É empolgar o turista
É beber formicida
É cuspir labareda
É olhar a praça lotando
E o chapéu estufando
De tanta moeda
É cair de joelhos
É dar graças ao céu
Lá se foi o turista
O dinheiro, a peixeira
A cadeira e o chapéu

Ser artista
Na cidade
É comer um fiapo
É vestir um farrapo
É ficar à vontade
É vagar pela noite
É ser um vaga-lume
É catar uma guimba
É tomar uma pinga
É pintar um tapume
É não ser quase nada
É não ter documento
Até que o rapa te pega
Te dobra, te amassa
E te joga lá dentro`"
5, a Cidade Ideal ,"`[introdução]
Jumento: Àquela altura da estrada já éramos quatro amigos.
Queríamos fazer um conjunto, bem.
Queríamos ir juntos à cidade, muito bem.
Só que, à medida que agente ía caminhando,
quando começamos a falar dessa cidade, fui percebendo
que os meus amigos tinham umas idéias bem esquisitas
sobre o que é uma cidade. Umas idéias atrapalhadas,
cada ilusão. Negócio de louco...


[música]
Cachorro:
A cidade ideal dum cachorro
Tem um poste por metro quadrado
Não tem carro, não corro, não morro
E também nunca fico apertado

Galinha:
A cidade ideal da galinha
Tem as ruas cheias de minhoca
A barriga fica tão quentinha
Que transforma o milho em pipoca

Crianças:
Atenção porque nesta cidade
Corre-se a toda velocidade
E atenção que o negócio está preto
Restaurante assando galeto

Todos:
Mas não, mas não
O sonho é meu e eu sonho que
Deve ter alamedas verdes
A cidade dos meus amores
E, quem dera, os moradores
E o prefeito e os varredores
Fossem somente crianças

Deve ter alamedas verdes
A cidade dos meus amores
E, quem dera, os moradores
E o prefeito e os varredores
E os pintores e os vendedores
Fossem somente crianças

Gata:
A cidade ideal de uma gata
É um prato de tripa fresquinha
Tem sardinha num bonde de lata
Tem alcatra no final da linha

Jumento:
Jumento é velho, velho e sabido
E por isso já está prevenido
A cidade é uma estranha senhora
Que hoje sorri e amanhã te devora

Crianças:
Atenção que o jumento é sabido
É melhor ficar bem prevenido
E olha, gata, que a tua pelica
Vai virar uma bela cuíca

Todos:
Mas não, mas não
O sonho é meu e eu sonho que
Deve ter alamedas verdes
A cidade dos meus amores
E, quem dera, os moradores
E o prefeito e os varredores
Fossem somente crianças

Deve ter alamedas verdes
A cidade dos meus amores
E, quem dera, os moradores
E o prefeito e os varredores
E os pintores e os vendedores
As senhoras e os senhores
E os guardas e os inspetores
Fossem somente crianças`"
6, a Foto Da Capa ,"`O retrato do artista quando moço
Não é promissora, cândida pintura
É a figura do larápio rastaqüera
Numa foto que não era para capa
Uma pose para câmera tão dura
Cujo foco toda lírica solapa

Era rala a luz naquele calabouço
Do talento a clarabóia se tampara
E o poeta que ele sempre se soubera
Claramente não mirava algum futuro
Via o tira da sinistra que rosnara
E o fotógrafo frontal batendo a chapa

É uma foto que não era para capa
Era a mera contracara, a face obscura
O retrato da paúra quando o cara
Se prepara para dar a cara a tapa`"
7, a Galinha ,"`[introdução]
Jumento: Acabou?
Calma companheiro,
eu não sou teu patrão.

Cachorro: Como senhor?
Vossa excelência não quer ser meu patrão?

Jumento: hê, deixa disso,
eu sou um pobre coitado igual a você
sou um pau-de-arara.

Cachorro: Sim, senhor pau-de-arara,
Às ordens. Em que posso servi-lo?
Aonde quer que o leve?

Jumento: Não me leva a lugar nenhum rapaz.
Eu vou à cidade. Vou procurar emprego como músico.
Você também vem?

Cachorro: Sim, senhor pau-de-arara.

Jumento: Podemos fazer um duo.
Dois animais cantando juntos, já pensou!
acho que vai ser a maior sensação.

Galinha: Có-cócócó,
três animais cantando juntos
acho que ainda é mais fantástico.
Vocês me levam também?

Jumento: O quê? Uma galinha?

Cachorro: Bom dia, vossa galinhência!

Galinha: Cococo-como vão cococo-companheiros?

Jumento: Já vi tudo, você também fugiu, né?

Galinha: E como não?

Cachorro e Jumento: Por quê?

Galinha: Não consigo mais botar ovos.

[música]
Todo ovo
Que eu choco
Me toco
De novo
Todo ovo
É a cara
É a clara
Do vovô

Mas fiquei
Bloqueada
E agora
De noite
Só sonho
Gemada

A escassa produção
Alarma o patrão
As galinhas sérias
Jamais tiram férias
""Estás velha, te perdôo
Tu ficas na granja
Em forma de canja""

Ah!!! é esse o meu troco
Por anos de choco???
Dei-lhe uma bicada
E fugi, chocada

Quero cantar
Na ronda
Na crista
Da onda

Pois um bico a mais
Só faz mais feliz
A grande gaiola
Do meu país


[depois]
Jumento: Bom, já que você quer ser uma cantora,
pode entrar no nosso conjunto.
Afinal, pra uma galinha, até que você é...
Bem, é... bem apanhada, certo Cachorro?

Cachorro: Bem apanhadíssima, vossa galinhidade

Galinha: Obrigada. Vamos lá então.`"
8, a História De Lily Braun ,"`Como num romance
O homem dos meus sonhos
Me apareceu no dancing
Era mais um
Só que num relance
Os seus olhos me chuparam
Feito um zoom

Ele me comia
Com aqueles olhos
De comer fotografia
Eu disse cheese
E de close em close
Fui perdendo a pose
E até sorri, feliz

E voltou
Me ofereceu um drinque
Me chamou de anjo azul
Minha visão
Foi desde então ficando flou

Como no cinema
Me mandava às vezes
Uma rosa e um poema
Foco de luz
Eu, feito uma gema
Me desmilinguindo toda
Ao som do blues

Abusou do scotch
Disse que meu corpo
Era só dele aquela noite
Eu disse please
Xale no decote
Disparei com as faces
Rubras e febris

E voltou
No derradeiro show
Com dez poemas e um buquê
Eu disse adeus
Já vou com os meus
Numa turnê

Como amar esposa
Disse ele que agora
Só me amava como esposa
Não como star
Me amassou as rosas
Me queimou as fotos
Me beijou no altar

Nunca mais romance
Nunca mais cinema
Nunca mais drinque no dancing
Nunca mais cheese
Nunca uma espelunca
Uma rosa nunca
Nunca mais feliz`"
9, A Ilha ,"`Um facho de luz
Que a tudo seduz 
Por aqui
Estrela cadente 
Reluzentemente
Sem fim

E um cheiro de amor
Empestrado no ar 
A me entorpecer
Quisera viesse do mar 
E não de você 

Um raio que inunda 
De brilho
Uma noite perdida
Um estado de coisas 
Tão puras
Que movem uma vida

E um verde profundo 
No olhar
A me endoidecer
Quisera estivesse 
No mar 
E não em você 

Porque seu coração 
É uma ilha
A centenas 
De milhas daqui`"
10, a Mais Bonita ,"`Não, solidão, hoje não quero me retocar
Nesse salão de tristeza onde as outras penteiam mágoas
Deixo que as águas invadam meu rosto
Gosto de me ver chorar
Finjo que estão me vendo
Eu preciso me mostrar

Bonita
Pra que os olhos do meu bem
Não olhem mais ninguém
Quando eu me revelar
Da forma mais bonita
Pra saber como levar todos
Os desejos que ele tem
Ao me ver passar
Bonita
Hoje eu arrasei
Na casa de espelhos
Espalho os meus rostos
E finjo que finjo que finjo
Que não sei`"
